"","...1","country","2011 population","2012 population","2013 population","2014 population","2015 population","2016 population","2017 population","2011 mean","2012 mean","2013 mean","2014 mean","2015 mean","2016 mean","2017 mean"
"74","Lappeenranta","FI",NA,NA,NA,60000,NA,60000,NA,NA,NA,NA,4.604210476,NA,14.53672407,NA
"75","Oulu","FI",NA,NA,NA,195000,NA,174500,NA,NA,NA,NA,40.65830476,NA,10.31212671,NA
"76","Rovaniemi","FI",NA,NA,NA,49000,NA,49000,NA,NA,NA,NA,12.34044373,NA,14.27392431,NA
"77","Savonlinna","FI",NA,NA,NA,28000,NA,28000,NA,NA,NA,NA,1.156915714,NA,20.48270836,NA
"78","Tampere","FI",NA,NA,NA,2e+05,2e+05,2e+05,2e+05,NA,NA,NA,9.663606143,28.16295415,27.08118193,44.50821911
"79","Turku","FI",275000,275000,275000,285000,285000,285000,3e+05,NA,0,5.274132417,10.49749353,18.71939737,16.5849816,14.73073077
"80","Vaasa","FI",NA,NA,NA,67000,NA,69252,NA,NA,NA,NA,8.750170576,NA,18.67038243,NA
"81","Bordeaux (2)","FR",NA,NA,NA,NA,NA,NA,481638,NA,NA,NA,NA,NA,NA,14.87805112
"82","Bordeaux II","FR",NA,NA,NA,NA,NA,NA,227300,NA,NA,NA,NA,NA,NA,10.70166798
"83","Bordeaux I","FR",NA,NA,NA,NA,NA,254338,254338,NA,NA,NA,NA,NA,13.81603979,18.61045402
"84","Fort-de-France D","FR",NA,NA,NA,16500,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"85","Fort-de-France P","FR",NA,NA,NA,19000,19000,NA,19000,NA,NA,NA,0,0,NA,0
"86","Paris G","FR",NA,245500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Paris SC","FR",774600,NA,1004000,849662,643910,538943,461866,14.93698571,NA,26.05776024,22.52548358,32.11493095,31.96083081,43.43452743
"88","Paris South Suburbs","FR",NA,NA,NA,NA,NA,NA,85263,NA,NA,NA,NA,NA,NA,5.194531418
"89","Bristol","GB",NA,NA,NA,886650,886650,886650,886650,NA,NA,NA,31.39987718,53.11232953,51.2181191,33.04492349
"90","London","GB",3400000,NA,3400000,3400000,3400000,3400000,NA,32.25163333,NA,32.65403216,67.89438332,54.95083324,0,NA
"91","Athens","GR",NA,NA,3700000,3700000,3700000,3700000,3700000,NA,NA,2.449414324,4.404816266,3.433257799,2.533561668,2.485209807
"92","Mytilene","GR",NA,NA,NA,NA,26000,NA,NA,NA,NA,NA,NA,0.81121728,NA,NA
"93","Thessaloniki","GR",NA,NA,NA,850000,850000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Zagreb","HR",650000,650000,650000,650000,650000,650000,650000,3.262571429,7.648870348,9.337167912,11.67879802,27.25663473,49.22393912,32.62124901
"95","Tel-Aviv","IL",NA,NA,NA,NA,NA,2500000,NA,NA,NA,NA,NA,NA,11.96454932,NA
"96","Reykjavik (2)","IS",NA,NA,NA,NA,NA,186000,184292,NA,NA,NA,NA,NA,37.39432592,39.67284325
"97","Reykjavik N","IS",NA,NA,NA,NA,93000,93000,97168,NA,NA,NA,NA,NA,37.62507227,36.51501641
"98","Bari","IT",NA,NA,NA,NA,NA,NA,459650,NA,NA,NA,NA,NA,NA,1.257228661
"99","Bologna","IT",NA,NA,NA,NA,NA,NA,5e+05,NA,NA,NA,NA,NA,NA,5.046825587
"100","Gorizia","IT",NA,NA,NA,NA,NA,NA,34844,NA,NA,NA,NA,NA,NA,4.361775033
"101","Milan","IT",1250000,1100000,1149477,1122501,1122501,1140000,1080000,7.576528571,8.735505325,4.959181252,3.958418445,6.70130955,4.448100025,4.344561508
"102","Palermo","IT",NA,NA,NA,NA,NA,NA,360000,NA,NA,NA,NA,NA,NA,0
"103","Potenza","IT",NA,NA,NA,NA,NA,NA,90000,NA,NA,NA,NA,NA,NA,0
"104","Busan","KR",NA,NA,NA,NA,1164950,NA,NA,NA,NA,NA,NA,0,NA,NA
"105","Bendern","LI",NA,NA,NA,37000,37000,NA,NA,NA,NA,NA,0,10.48119884,NA,NA
"106","Vilnius","LT",NA,NA,NA,NA,NA,NA,545280,NA,NA,NA,NA,NA,NA,15.95915467
"107","Malta","MT",NA,NA,NA,NA,296297,NA,NA,NA,NA,NA,NA,69.71386205,NA,NA
"108","Amsterdam","NL",694800,769000,769000,769000,769000,NA,769000,77.24418,99.84000123,89.25255968,150.5145343,166.1626826,NA,230.2859918
"109","Eindhoven","NL",448700,450300,450300,450300,450300,450300,450300,66.67707143,1456.982085,464.0523548,9296.409169,131.047576,125.7392265,165.0826451
"110","Nieuwegein Ijssel.","NL",NA,NA,NA,NA,NA,NA,96000,NA,NA,NA,NA,NA,NA,48.45477895
"111","Oudewater","NL",NA,NA,NA,NA,NA,NA,10110,NA,NA,NA,NA,NA,NA,26.39399552
"112","Utrecht","NL",297000,3e+05,3e+05,3e+05,3e+05,3e+05,3e+05,615.3474714,161.8581049,83.11386453,85.97408752,62.01151921,88.74943076,59.81837146
"113","Oslo","NO",557000,557000,576000,580639,580639,580639,580639,0,10.59615859,7.377356399,76.06431208,37.66188077,94.75836146,19.50022916
"114","Auckland (2)","NZ",NA,NA,NA,NA,1332000,NA,NA,NA,NA,NA,NA,1.958526203,NA,NA
"115","Krakow (2)","PL",NA,NA,NA,NA,NA,930000,930000,NA,NA,NA,NA,NA,4.361106633,7.420949149
"116","Almada","PT",NA,NA,NA,138685,138685,138685,138685,NA,NA,NA,0,6.026710068,2.799870209,9.325861794
"117","Lisbon","PT",NA,NA,426964,NA,426964,426964,426964,NA,NA,4.845671601,NA,22.9319066,26.91333026,38.31586699
"118","Porto","PT",NA,NA,NA,NA,150000,150000,150000,NA,NA,NA,NA,10.26931234,10.77664457,10.81285362
"119","Alba Iulia","RO",NA,NA,NA,NA,NA,63000,NA,NA,NA,NA,NA,NA,0,NA
"120","Cluj Napoca","RO",NA,NA,350000,NA,NA,360000,NA,NA,NA,0,NA,NA,3.403452381,NA
"121","Beograd","RS",NA,NA,NA,NA,NA,5e+05,NA,NA,NA,NA,NA,NA,5.383736571,NA
"122","Novi Sad","RS",NA,NA,321282,NA,NA,NA,NA,NA,NA,7.09390608,NA,NA,NA,NA
"123","Gothenburg","SE",NA,664441,664441,NA,NA,NA,NA,NA,0,5.847077038,NA,NA,NA,NA
"124","Stockholm (2)","SE",NA,NA,NA,NA,NA,784000,NA,NA,NA,NA,NA,NA,37.76448615,NA
"125","Stockholm H","SE",315000,NA,NA,NA,NA,326000,NA,0,NA,NA,NA,NA,50.22888694,NA
"126","Stockholm S","SE",NA,NA,NA,NA,NA,458000,NA,NA,NA,NA,NA,NA,28.89244541,NA
"127","Umeå","SE",115800,115800,115800,NA,NA,NA,NA,0,0,4.503663953,NA,NA,NA,NA
"128","Ljubljana","SI",NA,NA,NA,NA,NA,NA,266131,NA,NA,NA,NA,NA,NA,35.5884669
"129","Bratislava (2)","SK",NA,NA,440000,NA,470000,470000,6e+05,NA,NA,6.046720779,NA,13.46774985,26.40685502,10.11124595
"130","Piestany","SK",NA,NA,30000,NA,30000,30000,30000,NA,NA,0,NA,0,10.15862857,2.242544524
"131","Uzhhorod","UA",NA,NA,NA,NA,NA,116200,NA,NA,NA,NA,NA,NA,0,NA
"132","Seattle","US",NA,NA,NA,NA,893000,893000,893000,NA,NA,NA,NA,16.77648537,11.0817611,6.319176091
